timestamp	step	ckpt	csc_F1	P	R	acc
2026-06-02 16:20:26	15000	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v1/checkpoint-15000	0.0157	0.3750	0.0080	0.4696
2026-06-02 21:59:34	100	/tmp/dryrun_v3/checkpoint-100	0.0854	0.6800	0.0456	0.4851
[modern_csc_eval] FAILED on /home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v3/checkpoint-1500
2026-06-03 22:50:03	3000	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v3/checkpoint-3000	0.1346	0.6512	0.0751	0.4908
2026-06-04 07:04:02	4500	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v3/checkpoint-4500	0.1659	0.7143	0.0938	0.5021
2026-06-04 15:18:13	6000	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v3/checkpoint-6000	0.1780	0.7037	0.1019	0.5035
2026-06-04 20:53:59	7000	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v3/checkpoint-7000	0.1619	0.7234	0.0912	0.5021
2026-06-05 06:44:43	1500	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_mid/checkpoint-1500	0.4578	0.9120	0.3056	0.6181
2026-06-05 16:23:58	3000	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_mid/checkpoint-3000	0.4903	0.8936	0.3378	0.6294
2026-06-06 04:53:59	4500	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_mid/checkpoint-4500	0.5204	0.9437	0.3592	0.6506
2026-06-06 14:32:43	6000	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_mid/checkpoint-6000	0.5354	0.9333	0.3753	0.6563
2026-06-07 00:10:48	7500	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_mid/checkpoint-7500	0.5154	0.9116	0.3592	0.6436
2026-06-07 06:43:36	8500	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_mid/checkpoint-8500	0.5560	0.9141	0.3995	0.6634
[modern_csc_eval] FAILED on /home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_large/checkpoint-1500
2026-06-08 18:15:57	1500	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_large/checkpoint-1500	0.5630	0.9102	0.4075	0.6662
2026-06-09 00:50:18	3000	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_large/checkpoint-3000	0.5910	0.9011	0.4397	0.6789
2026-06-09 19:25:41	4500	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_large/checkpoint-4500	0.7039	0.9541	0.5576	0.7525
2026-06-10 14:00:49	6000	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_large/checkpoint-6000	0.6951	0.9533	0.5469	0.7468
2026-06-11 08:36:10	7500	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_large/checkpoint-7500	0.6885	0.9615	0.5362	0.7440
2026-06-11 20:56:44	8500	/home/tfbao/Shiyu/BERTc/pretrain/modern_bertc/output_v4_large/checkpoint-8500	0.6946	0.9283	0.5550	0.7426
